Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Receiving (ms),16945.33,0.00,967798.40,178146206.63,9.23,86.95,289.87,2741.84,7724.01,16761.85,37938.88,66016.47,156010.65,35829.27
HTTP Sending (ms),0.46,0.05,402.91,4888.52,0.09,0.15,0.18,0.21,0.23,0.25,0.29,0.50,1.49,5.31
HTTP Total Time (ms),99221.31,820.63,1058481.87,1043113665.98,4447.68,7933.91,16478.19,45912.62,82166.40,131199.13,195211.44,251945.62,376188.86,79520.71
HTTP Waiting (TTFB) (ms),82275.32,541.80,518849.63,864960448.64,2145.61,3374.16,6209.73,34046.82,68220.58,112024.46,168185.26,216272.76,320037.85,69000.49
Input Sequence Length (tokens),117929.49,151.00,858851.00,1239792689.00,1134.56,2969.60,26222.20,42573.00,78723.00,139304.00,257954.80,384005.40,634594.64,124986.03
Inter Chunk Latency (ms),63.99,0.00,30996.35,178137905.23,0.00,1.04,1.49,1.90,2.40,3.36,62.78,105.02,1585.72,416.42
Inter Token Latency (ms),18.44,0.00,510.70,193770.10,0.52,0.81,1.93,12.09,17.12,21.16,28.81,38.60,76.89,18.44
OSL Mismatch Diff % (%),-0.56,-99.84,0.00,-5925.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.21
Output Sequence Length (tokens),956.00,1.00,59903.00,10050409.00,10.00,78.00,107.00,180.00,406.00,923.00,2118.80,3598.60,8822.72,2077.59
Output Token Count (tokens),956.00,1.00,59903.00,10050409.00,10.00,78.00,107.00,180.00,406.00,923.00,2118.80,3598.60,8822.72,2077.59
Output Token Throughput Per User (tokens/sec/user),408.97,1.96,544190.57,4292101.74,13.00,25.89,34.70,47.26,58.39,82.53,501.40,1220.20,1899.75,8522.87
Prefill Throughput Per User (tokens/sec/user),3948.08,1.02,102942.96,41506122.45,14.24,72.27,227.01,575.97,1364.49,3440.88,10597.05,18738.33,37281.69,7554.62
Request Latency (ms),99220.87,819.68,1058481.91,1043108963.97,4447.69,7933.72,16478.25,45912.68,82166.19,131199.21,195211.50,251945.69,376188.93,79520.73
Time to First Output Token (ms),81846.39,1580.68,389919.63,28237003.46,2475.97,5990.47,16019.34,37727.97,70738.88,114311.56,155353.22,187268.98,260856.48,60455.01
Time to First Token (ms),82276.33,542.10,518849.99,864971058.74,2145.99,3374.52,6210.09,34047.05,68220.91,112024.56,168185.61,216273.13,320038.16,69000.63
Time to Second Token (ms),106.14,0.00,12585.53,1115240.05,0.00,0.56,1.83,2.66,3.65,5.84,78.81,281.66,2763.56,612.46
Tokens In Flight (tokens),40815004.25,0.00,50287544.39,,,,,,44715532.69,,47914359.88,48627123.62,49555163.17,11843612.23
Usage Completion Tokens (tokens),956.00,1.00,59903.00,10050409.00,10.00,78.00,107.00,180.00,406.00,923.00,2118.80,3598.60,8822.72,2077.59
Usage Prompt Cache Read Tokens (tokens),126507.43,64.00,848640.00,1105295424.00,16000.00,23744.00,27904.00,47552.00,86848.00,144320.00,275635.20,397440.00,665856.00,127479.52
Usage Prompt Tokens (tokens),117929.49,151.00,858851.00,1239792689.00,1134.56,2969.60,26222.20,42573.00,78723.00,139304.00,257954.80,384005.40,634594.64,124986.03
Usage Total Tokens (tokens),118885.48,279.00,860425.00,1249843098.00,1299.40,4523.60,26439.20,43065.00,79348.00,140479.00,259497.60,384885.80,637759.72,125374.76

Metric,Value
Benchmark Duration (sec),3629.95
Input Token Throughput (tokens/sec),340602.14
OSL Mismatch Count,69.00
Output Token Throughput (tokens/sec),2761.10
Overall Usage Prompt Cache Read % (%),89.15
Request Count,10513.00
Request Throughput (requests/sec),2.89
Theoretical Prefix Cache Hit (%),96.27
Total Input Sequence Length (tokens),1239792689.00
Total Output Sequence Length (tokens),10050409.00
Total Output Tokens (tokens),10050409.00
Total Token Throughput (tokens/sec),343363.24
Total Usage Completion Tokens (tokens),10050409.00
Total Usage Prompt Cache Read Tokens (tokens),1105295424.00
Total Usage Prompt Tokens (tokens),1239792689.00
Total Usage Total Tokens (tokens),1249843098.00
