# sampler start 2026-09-15T21:03:01Z endpoints=p0,p1,d0,d1
21:03:01 p0=<URLError> | p1=<URLError> | d0=<URLError> | d1=<URLError>
21:07:47 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:08:02 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:08:17 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:08:32 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:08:47 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:09:02 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:09:17 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:09:32 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:09:47 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:10:02 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:10:17 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:10:32 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:10:47 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:11:02 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:11:17 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:11:32 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:11:47 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:12:02 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:12:17 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:12:32 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:12:47 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:13:02 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:13:17 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:13:32 p0 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:13:47 p0 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=6 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:14:03 p0 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=6 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:14:18 p0 run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=6 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:14:33 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:14:48 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:15:03 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:15:18 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:15:33 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:15:48 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:16:03 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:16:18 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:16:33 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:16:48 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:17:03 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:17:18 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:17:34 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:17:49 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:18:04 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError> | d1=<URLError>
21:18:19 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:18:34 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:18:49 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:19:04 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:19:19 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:19:35 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:19:50 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:20:05 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:20:20 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:20:35 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:20:50 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:21:06 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:21:21 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:21:36 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:21:51 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:22:06 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
21:22:53 p0=<TimeoutError> | p1=<TimeoutError> | d0=<TimeoutError> | d1=<TimeoutError>
21:23:09 p0 run=0 q=0 prealloc=0 xfer=0 http=141 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=146 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=147 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=140 kv=0.000 hit=0.000 gen=0
21:23:24 p0 run=0 q=0 prealloc=0 xfer=0 http=141 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=146 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=147 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=140 kv=0.000 hit=0.000 gen=0
21:23:39 p0 run=0 q=0 prealloc=0 xfer=0 http=141 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=146 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=147 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=140 kv=0.000 hit=0.000 gen=0
21:23:54 p0 run=0 q=0 prealloc=0 xfer=0 http=141 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=146 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=147 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=140 kv=0.000 hit=0.000 gen=0
21:24:10 p0 run=0 q=0 prealloc=0 xfer=0 http=141 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=146 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=147 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=140 kv=0.000 hit=0.000 gen=0
21:24:25 p0 run=0 q=0 prealloc=0 xfer=0 http=141 kv=0.000 hit=0.000 gen=0 | p1 run=1 q=16 prealloc=0 xfer=0 http=146 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=147 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=140 kv=0.000 hit=0.000 gen=0
21:24:40 p0 run=8 q=116 prealloc=0 xfer=0 http=140 kv=0.019 hit=0.000 gen=0 | p1 run=9 q=114 prealloc=0 xfer=0 http=139 kv=0.013 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=140 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=138 kv=0.000 hit=0.000 gen=0
21:24:55 p0 run=8 q=110 prealloc=0 xfer=0 http=130 kv=0.016 hit=0.000 gen=0 | p1 run=8 q=110 prealloc=0 xfer=0 http=133 kv=0.017 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=133 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=130 kv=0.000 hit=0.000 gen=0
21:25:11 p0 run=9 q=104 prealloc=0 xfer=0 http=123 kv=0.018 hit=0.000 gen=0 | p1 run=9 q=101 prealloc=0 xfer=0 http=124 kv=0.016 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=124 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=123 kv=0.000 hit=0.000 gen=0
21:25:26 p0 run=8 q=101 prealloc=0 xfer=0 http=117 kv=0.020 hit=0.000 gen=0 | p1 run=8 q=99 prealloc=0 xfer=0 http=119 kv=0.021 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=119 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=117 kv=0.000 hit=0.000 gen=0
21:25:42 p0 run=9 q=95 prealloc=0 xfer=0 http=111 kv=0.017 hit=0.000 gen=0 | p1 run=8 q=97 prealloc=0 xfer=0 http=112 kv=0.022 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=112 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=110 kv=0.000 hit=0.000 gen=0
21:25:57 p0 run=8 q=93 prealloc=0 xfer=0 http=107 kv=0.023 hit=0.000 gen=0 | p1 run=8 q=94 prealloc=0 xfer=0 http=108 kv=0.021 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=109 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=103 kv=0.000 hit=0.000 gen=0
21:26:12 p0 run=8 q=88 prealloc=0 xfer=0 http=101 kv=0.020 hit=0.000 gen=0 | p1 run=10 q=89 prealloc=0 xfer=0 http=105 kv=0.030 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=105 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=101 kv=0.000 hit=0.000 gen=0
21:26:28 p0 run=8 q=85 prealloc=0 xfer=0 http=98 kv=0.028 hit=0.000 gen=0 | p1 run=8 q=88 prealloc=0 xfer=0 http=100 kv=0.022 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=101 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=97 kv=0.000 hit=0.000 gen=0
21:26:43 p0 run=8 q=84 prealloc=0 xfer=0 http=96 kv=0.036 hit=0.000 gen=0 | p1 run=8 q=81 prealloc=0 xfer=0 http=93 kv=0.015 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=95 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=94 kv=0.000 hit=0.000 gen=0
21:26:58 p0 run=9 q=80 prealloc=0 xfer=0 http=90 kv=0.022 hit=0.000 gen=0 | p1 run=8 q=79 prealloc=0 xfer=0 http=90 kv=0.025 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=93 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=87 kv=0.000 hit=0.000 gen=0
21:27:14 p0 run=8 q=76 prealloc=0 xfer=0 http=87 kv=0.026 hit=0.000 gen=0 | p1 run=8 q=75 prealloc=0 xfer=0 http=86 kv=0.026 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=89 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=83 kv=0.000 hit=0.000 gen=0
21:27:29 p0 run=8 q=71 prealloc=0 xfer=0 http=81 kv=0.020 hit=0.000 gen=0 | p1 run=9 q=71 prealloc=0 xfer=0 http=82 kv=0.022 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=84 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=79 kv=0.000 hit=0.000 gen=0
21:27:44 p0 run=8 q=70 prealloc=0 xfer=0 http=80 kv=0.035 hit=0.000 gen=0 | p1 run=8 q=69 prealloc=0 xfer=0 http=80 kv=0.034 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=82 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=78 kv=0.000 hit=0.000 gen=0
21:28:00 p0 run=8 q=66 prealloc=0 xfer=0 http=76 kv=0.031 hit=0.000 gen=0 | p1 run=8 q=67 prealloc=0 xfer=0 http=78 kv=0.040 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=78 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=75 kv=0.000 hit=0.000 gen=0
21:28:15 p0 run=8 q=63 prealloc=0 xfer=0 http=72 kv=0.030 hit=0.000 gen=0 | p1 run=8 q=63 prealloc=0 xfer=0 http=72 kv=0.022 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=74 kv=0.000 hit=0.000 gen=0 | d1 run=0 q=0 prealloc=0 xfer=0 http=70 kv=0.000 hit=0.000 gen=0
