# sampler start 2026-09-15T01:03:34Z
01:03:34 prefill=<URLError> | decode=<URLError>
01:11:19 prefill run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:11:34 prefill run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:11:49 prefill run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:12:04 prefill run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:12:19 prefill run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:12:34 prefill run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:12:49 prefill run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:13:04 prefill run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:13:19 prefill run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:13:34 prefill run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:13:49 prefill run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:14:04 prefill run=0 q=0 prealloc=0 xfer=0 http=6 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:14:19 prefill run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:14:34 prefill run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:14:49 prefill run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:15:04 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:15:20 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:15:35 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:15:50 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:16:05 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:16:20 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:16:35 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:16:50 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:17:05 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:17:20 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:17:35 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:17:50 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:18:05 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode=<URLError>
01:18:20 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:18:35 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:18:50 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:19:05 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:19:20 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:19:35 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:19:50 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:20:06 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:20:21 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:20:36 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:20:51 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:21:06 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:21:21 prefill run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
01:21:52 prefill=<TimeoutError> | decode=<TimeoutError>
01:22:07 prefill run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0
01:22:22 prefill run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0
01:22:37 prefill run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0
01:22:52 prefill run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0
01:23:08 prefill run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0
01:23:23 prefill run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0
01:23:38 prefill run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=102 kv=0.000 hit=0.000 gen=0
01:23:53 prefill run=8 q=91 prealloc=0 xfer=0 http=101 kv=0.010 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=101 kv=0.000 hit=0.000 gen=0
01:24:08 prefill run=9 q=81 prealloc=0 xfer=0 http=93 kv=0.016 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=92 kv=0.000 hit=0.000 gen=0
01:24:23 prefill run=8 q=77 prealloc=0 xfer=0 http=87 kv=0.019 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=86 kv=0.000 hit=0.000 gen=0
01:24:40 prefill run=8 q=69 prealloc=0 xfer=0 http=80 kv=0.017 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=78 kv=0.000 hit=0.000 gen=0
01:24:55 prefill run=9 q=65 prealloc=0 xfer=0 http=76 kv=0.026 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=76 kv=0.000 hit=0.000 gen=0
01:25:10 prefill run=8 q=59 prealloc=0 xfer=0 http=70 kv=0.019 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=69 kv=0.000 hit=0.000 gen=0
01:25:25 prefill run=10 q=55 prealloc=0 xfer=0 http=66 kv=0.024 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=66 kv=0.000 hit=0.000 gen=0
01:25:40 prefill run=8 q=51 prealloc=0 xfer=0 http=61 kv=0.024 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=61 kv=0.000 hit=0.000 gen=0
01:25:55 prefill run=8 q=51 prealloc=0 xfer=0 http=60 kv=0.036 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=60 kv=0.000 hit=0.000 gen=0
01:26:10 prefill run=8 q=46 prealloc=0 xfer=0 http=56 kv=0.028 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=56 kv=0.000 hit=0.000 gen=0
01:26:25 prefill run=8 q=43 prealloc=0 xfer=0 http=53 kv=0.028 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=53 kv=0.000 hit=0.000 gen=0
01:26:41 prefill run=8 q=41 prealloc=0 xfer=0 http=50 kv=0.030 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=50 kv=0.000 hit=0.000 gen=0
01:26:56 prefill run=9 q=39 prealloc=0 xfer=0 http=50 kv=0.049 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=50 kv=0.000 hit=0.000 gen=0
01:27:11 prefill run=8 q=36 prealloc=0 xfer=0 http=46 kv=0.035 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=46 kv=0.000 hit=0.000 gen=0
01:27:26 prefill run=8 q=34 prealloc=0 xfer=0 http=43 kv=0.031 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=43 kv=0.000 hit=0.000 gen=0
01:27:41 prefill run=9 q=33 prealloc=0 xfer=0 http=43 kv=0.046 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=43 kv=0.000 hit=0.000 gen=0
01:27:56 prefill run=8 q=31 prealloc=0 xfer=0 http=41 kv=0.048 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=41 kv=0.000 hit=0.000 gen=0
01:28:12 prefill run=8 q=27 prealloc=0 xfer=0 http=36 kv=0.025 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=36 kv=0.000 hit=0.000 gen=0
01:28:27 prefill run=8 q=26 prealloc=0 xfer=0 http=35 kv=0.036 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=35 kv=0.000 hit=0.000 gen=0
01:28:42 prefill run=8 q=25 prealloc=0 xfer=0 http=34 kv=0.044 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=34 kv=0.000 hit=0.000 gen=0
01:28:57 prefill run=9 q=23 prealloc=0 xfer=0 http=34 kv=0.062 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=34 kv=0.000 hit=0.000 gen=0
01:29:12 prefill run=8 q=22 prealloc=0 xfer=0 http=31 kv=0.050 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=31 kv=0.000 hit=0.000 gen=0
01:29:27 prefill run=8 q=21 prealloc=0 xfer=0 http=31 kv=0.060 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=30 kv=0.000 hit=0.000 gen=0
01:29:42 prefill run=8 q=20 prealloc=0 xfer=0 http=29 kv=0.056 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=29 kv=0.000 hit=0.000 gen=0
01:29:57 prefill run=8 q=18 prealloc=0 xfer=0 http=27 kv=0.052 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=27 kv=0.000 hit=0.000 gen=0
01:30:13 prefill run=8 q=18 prealloc=0 xfer=0 http=27 kv=0.065 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=27 kv=0.000 hit=0.000 gen=0
01:30:28 prefill run=8 q=17 prealloc=0 xfer=0 http=27 kv=0.077 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=27 kv=0.000 hit=0.000 gen=0
01:30:43 prefill run=8 q=17 prealloc=0 xfer=0 http=26 kv=0.079 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=26 kv=0.000 hit=0.000 gen=0
01:30:58 prefill run=8 q=17 prealloc=0 xfer=0 http=26 kv=0.080 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=26 kv=0.000 hit=0.000 gen=0
01:31:13 prefill run=8 q=17 prealloc=0 xfer=0 http=26 kv=0.081 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=26 kv=0.000 hit=0.000 gen=0
01:31:28 prefill run=8 q=16 prealloc=0 xfer=0 http=25 kv=0.079 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=25 kv=0.000 hit=0.000 gen=0
01:31:43 prefill run=8 q=15 prealloc=0 xfer=0 http=24 kv=0.085 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=24 kv=0.000 hit=0.000 gen=0
01:31:58 prefill run=9 q=14 prealloc=0 xfer=0 http=24 kv=0.099 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=24 kv=0.000 hit=0.000 gen=0
01:32:14 prefill run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.083 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0
01:32:29 prefill run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.077 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0
01:32:44 prefill run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.087 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0
01:32:59 prefill run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.098 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0
01:33:14 prefill run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.091 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=20 kv=0.000 hit=0.000 gen=0
01:33:29 prefill run=8 q=10 prealloc=0 xfer=0 http=20 kv=0.101 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=20 kv=0.000 hit=0.000 gen=0
01:33:44 prefill run=8 q=9 prealloc=0 xfer=0 http=18 kv=0.066 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=18 kv=0.000 hit=0.000 gen=0
01:33:59 prefill run=8 q=9 prealloc=0 xfer=0 http=18 kv=0.080 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=18 kv=0.000 hit=0.000 gen=0
01:34:14 prefill run=8 q=9 prealloc=0 xfer=0 http=18 kv=0.095 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=18 kv=0.000 hit=0.000 gen=0
01:34:30 prefill run=8 q=8 prealloc=0 xfer=0 http=17 kv=0.083 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=17 kv=0.000 hit=0.000 gen=0
01:34:45 prefill run=8 q=7 prealloc=0 xfer=0 http=16 kv=0.103 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=16 kv=0.000 hit=0.000 gen=0
01:35:00 prefill run=8 q=6 prealloc=0 xfer=0 http=15 kv=0.085 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=15 kv=0.000 hit=0.000 gen=0
01:35:15 prefill run=8 q=4 prealloc=0 xfer=0 http=14 kv=0.095 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=13 kv=0.000 hit=0.000 gen=0
01:35:30 prefill run=8 q=4 prealloc=0 xfer=0 http=13 kv=0.099 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=13 kv=0.000 hit=0.000 gen=0
01:35:45 prefill run=8 q=2 prealloc=0 xfer=0 http=12 kv=0.105 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=12 kv=0.000 hit=0.000 gen=0
01:36:00 prefill run=8 q=0 prealloc=0 xfer=0 http=9 kv=0.090 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0
01:36:15 prefill run=8 q=0 prealloc=0 xfer=0 http=9 kv=0.102 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0
01:36:30 prefill run=8 q=0 prealloc=0 xfer=0 http=8 kv=0.111 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=8 kv=0.000 hit=0.000 gen=0
01:36:46 prefill run=8 q=0 prealloc=0 xfer=0 http=7 kv=0.119 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=7 kv=0.000 hit=0.000 gen=0
01:37:01 prefill run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.125 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=6 kv=0.000 hit=0.000 gen=0
01:37:16 prefill run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.133 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0
01:37:31 prefill run=8 q=0 prealloc=0 xfer=0 http=4 kv=0.139 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=4 kv=0.000 hit=0.000 gen=0
01:37:46 prefill run=8 q=0 prealloc=0 xfer=0 http=3 kv=0.144 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.000 gen=0
01:38:01 prefill run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.145 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.000 gen=0
01:38:16 prefill run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.147 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.000 gen=0
01:38:31 prefill run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.150 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.000 gen=0
01:38:46 prefill run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.151 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.000 gen=0
01:39:01 prefill run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.154 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.000 gen=0
01:39:17 prefill run=8 q=0 prealloc=0 xfer=0 http=2 kv=0.154 hit=0.000 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.000 gen=0
01:39:43 prefill=<TimeoutError> | decode run=0 q=0 prealloc=0 xfer=0 http=88 kv=0.000 hit=0.000 gen=0
01:39:59 prefill run=13 q=25 prealloc=0 xfer=0 http=36 kv=0.177 hit=0.993 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=36 kv=0.000 hit=0.000 gen=0
01:40:14 prefill run=12 q=11 prealloc=0 xfer=0 http=22 kv=0.191 hit=0.996 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=19 kv=0.000 hit=0.000 gen=0
01:40:29 prefill run=12 q=10 prealloc=0 xfer=0 http=15 kv=0.202 hit=0.996 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=15 kv=0.000 hit=0.000 gen=0
01:40:44 prefill run=15 q=6 prealloc=0 xfer=0 http=11 kv=0.253 hit=0.994 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=11 kv=0.000 hit=0.000 gen=0
01:40:59 prefill run=14 q=2 prealloc=0 xfer=0 http=5 kv=0.269 hit=0.996 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0
01:41:14 prefill run=14 q=2 prealloc=0 xfer=0 http=5 kv=0.274 hit=0.996 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0
01:41:29 prefill run=14 q=1 prealloc=0 xfer=0 http=3 kv=0.304 hit=0.996 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.000 gen=0
01:41:44 prefill run=14 q=1 prealloc=0 xfer=0 http=3 kv=0.305 hit=0.996 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.000 gen=0
01:41:59 prefill run=14 q=1 prealloc=0 xfer=0 http=3 kv=0.307 hit=0.996 gen=0 | decode run=0 q=0 prealloc=0 xfer=0 http=3 kv=0.000 hit=0.000 gen=0
01:42:15 prefill run=8 q=0 prealloc=0 xfer=0 http=11 kv=0.014 hit=0.945 gen=0 | decode run=1 q=0 prealloc=0 xfer=1 http=11 kv=0.030 hit=0.000 gen=59
01:42:31 prefill run=8 q=0 prealloc=0 xfer=0 http=16 kv=0.064 hit=0.994 gen=0 | decode run=12 q=0 prealloc=0 xfer=4 http=22 kv=0.087 hit=0.000 gen=107
01:42:46 prefill run=8 q=1 prealloc=0 xfer=0 http=15 kv=0.037 hit=0.974 gen=0 | decode run=12 q=0 prealloc=0 xfer=8 http=26 kv=0.071 hit=0.000 gen=203
01:43:02 prefill run=9 q=7 prealloc=0 xfer=0 http=20 kv=0.059 hit=0.978 gen=0 | decode run=13 q=0 prealloc=0 xfer=3 http=28 kv=0.101 hit=0.000 gen=178
01:43:17 prefill run=9 q=7 prealloc=0 xfer=0 http=18 kv=0.051 hit=0.976 gen=0 | decode run=10 q=0 prealloc=0 xfer=9 http=29 kv=0.113 hit=0.000 gen=163
01:43:33 prefill run=10 q=7 prealloc=0 xfer=0 http=22 kv=0.069 hit=0.965 gen=0 | decode run=16 q=0 prealloc=0 xfer=6 http=32 kv=0.149 hit=0.000 gen=200
01:43:48 prefill run=9 q=10 prealloc=0 xfer=0 http=20 kv=0.095 hit=0.940 gen=0 | decode run=13 q=0 prealloc=0 xfer=11 http=32 kv=0.159 hit=0.000 gen=172
01:44:03 prefill run=12 q=9 prealloc=0 xfer=0 http=27 kv=0.116 hit=0.993 gen=0 | decode run=16 q=0 prealloc=0 xfer=12 http=37 kv=0.198 hit=0.000 gen=188
01:44:19 prefill run=12 q=4 prealloc=0 xfer=0 http=25 kv=0.077 hit=0.985 gen=0 | decode run=16 q=0 prealloc=0 xfer=13 http=35 kv=0.188 hit=0.000 gen=164
01:44:34 prefill run=9 q=0 prealloc=0 xfer=0 http=15 kv=0.083 hit=0.989 gen=0 | decode run=24 q=0 prealloc=0 xfer=10 http=37 kv=0.242 hit=0.000 gen=225
01:44:49 prefill run=7 q=0 prealloc=0 xfer=0 http=9 kv=0.059 hit=0.977 gen=0 | decode run=24 q=0 prealloc=0 xfer=3 http=31 kv=0.159 hit=0.000 gen=227
01:45:04 prefill run=9 q=1 prealloc=0 xfer=0 http=13 kv=0.029 hit=0.979 gen=0 | decode run=23 q=0 prealloc=0 xfer=8 http=35 kv=0.172 hit=0.000 gen=243
01:45:19 prefill run=11 q=1 prealloc=0 xfer=0 http=13 kv=0.049 hit=0.974 gen=0 | decode run=23 q=0 prealloc=0 xfer=7 http=36 kv=0.142 hit=0.000 gen=244
01:45:34 prefill run=8 q=3 prealloc=0 xfer=0 http=15 kv=0.028 hit=0.984 gen=0 | decode run=25 q=0 prealloc=0 xfer=4 http=39 kv=0.175 hit=0.000 gen=277
