Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Inter Chunk Latency (ms),67.76,0.00,17963.25,227724514.58,0.00,0.00,1.58,2.15,2.70,3.35,6.55,59.43,1941.90,564.07
Inter Token Latency (ms),19.64,0.00,9257.74,243200.44,0.48,0.77,1.01,4.13,16.36,23.83,36.71,50.68,94.13,86.20
OSL Mismatch Diff % (%),-0.37,-99.92,0.00,-4611.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.74
Output Sequence Length (tokens),979.93,1.00,59903.00,12139386.00,13.00,81.00,110.00,187.00,407.00,964.00,2256.90,3728.25,8760.68,2005.55
Output Token Count (tokens),979.93,1.00,59903.00,12139386.00,13.00,81.00,110.00,187.00,407.00,964.00,2256.90,3728.25,8760.68,2005.55
Output Token Throughput Per User (tokens/sec/user),4590.69,0.11,3796483.58,56791374.05,10.62,19.73,27.23,41.96,61.08,240.14,985.05,1297.65,1996.77,68681.36
Prefill Throughput Per User (tokens/sec/user),6851.74,1.88,166499.50,84879411.97,26.01,136.73,461.97,1357.14,3030.83,6737.20,15492.86,25960.88,69865.46,12480.57
Request Latency (ms),54130.64,323.89,1068032.34,670570406.19,3196.41,7715.85,16731.20,28147.63,41477.29,64614.04,99820.94,137645.69,253206.09,49466.84
Time to First Output Token (ms),38055.14,678.59,305639.40,14194568.15,1380.00,2235.00,3639.99,18712.84,30537.09,48623.03,72044.51,99059.22,151389.72,34292.82
Time to First Token (ms),35747.97,200.52,424649.38,442845891.62,1154.07,2571.97,9121.07,19304.38,29408.07,42982.99,66617.03,86201.54,150088.66,30281.91
Time to Second Token (ms),100.93,0.00,17385.98,1249798.12,0.00,0.06,1.81,2.88,3.92,5.23,32.00,91.97,2849.60,787.77
Tokens In Flight (tokens),27090117.17,0.00,36392962.54,,,,,,29396798.33,,32423280.79,33316816.50,34398561.91,7985459.53
Usage Completion Tokens (tokens),979.93,1.00,59903.00,12139386.00,13.00,81.00,110.00,187.00,407.00,964.00,2256.90,3728.25,8760.68,2005.55
Usage Prompt Cache Read Tokens (tokens),132867.85,64.00,859200.00,1407070528.00,17728.00,23744.00,29248.00,49472.00,91520.00,154688.00,283814.40,430832.00,643361.92,131173.69
Usage Prompt Tokens (tokens),122020.85,150.00,860494.00,1511594280.00,727.87,2968.00,23438.70,43530.50,82274.00,147067.25,267656.40,401886.90,625509.32,128914.17
Usage Total Tokens (tokens),123000.78,169.00,863063.00,1523733666.00,1000.67,4285.70,23731.20,43992.00,83091.50,148101.00,269289.40,404208.40,627474.04,129278.28

Metric,Value
Benchmark Duration (sec),3627.00
Input Token Throughput (tokens/sec),415272.94
OSL Mismatch Count,59.00
Output Token Throughput (tokens/sec),3334.99
Overall Usage Prompt Cache Read % (%),93.09
Request Count,12388.00
Request Throughput (requests/sec),3.40
Theoretical Prefix Cache Hit (%),96.47
Total Input Sequence Length (tokens),1511594280.00
Total Output Sequence Length (tokens),12139386.00
Total Output Tokens (tokens),12139386.00
Total Token Throughput (tokens/sec),418607.93
Total Usage Completion Tokens (tokens),12139386.00
Total Usage Prompt Cache Read Tokens (tokens),1407070528.00
Total Usage Prompt Tokens (tokens),1511594280.00
Total Usage Total Tokens (tokens),1523733666.00
