Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Chunks Sent,1.00,1.00,1.00,9536.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,6.05,70.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.10
HTTP Connection Overhead (ms),0.01,0.00,6.05,70.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.10
HTTP Connection Reused (ratio),0.99,0.00,1.00,9413.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.11
HTTP Data Received (KB),66.42,1.04,4264.32,633401.33,1.54,5.80,8.44,13.64,30.04,70.24,143.46,247.79,569.52,127.22
HTTP Data Sent (KB),447.44,0.62,3073.86,4266811.32,4.56,11.59,29.39,150.87,313.40,550.12,972.65,1381.44,2586.20,476.45
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),39635.71,1175.76,874050.53,377966126.03,3721.02,5783.87,7386.65,12323.85,24945.01,51610.99,88622.79,118070.98,206525.11,44001.72
HTTP Receiving (ms),14842.22,0.00,870707.29,141535387.86,10.10,180.29,1024.24,2806.68,6813.92,15806.96,32057.06,56687.57,127924.82,28617.87
HTTP Sending (ms),0.23,0.05,56.44,2172.55,0.07,0.14,0.15,0.17,0.20,0.23,0.27,0.32,0.67,0.78
HTTP Total Time (ms),39635.72,1175.76,874050.53,377966196.55,3721.02,5783.87,7386.65,12323.85,24945.01,51610.99,88622.79,118070.98,206525.11,44001.73
HTTP Waiting (TTFB) (ms),24793.26,676.62,357072.61,236428565.62,1921.27,2831.13,3563.41,5363.68,11300.37,32862.46,64469.58,85904.17,145128.23,31893.68
Input Sequence Length (tokens),114842.03,151.00,789864.00,1095133579.00,1112.35,2967.00,7446.50,38644.25,80496.50,141192.25,250288.00,355223.75,665245.95,122337.47
Inter Chunk Latency (ms),56.29,0.00,10820.68,141527160.89,0.00,0.92,1.25,1.77,2.48,45.87,70.50,197.69,1076.81,251.46
Inter Token Latency (ms),16.19,0.00,548.48,154291.74,0.46,1.81,8.60,12.62,15.91,18.33,21.67,26.46,48.42,11.96
OSL Mismatch Diff % (%),-1.69,-99.96,0.00,-16074.57,-92.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.90
Output Sequence Length (tokens),951.86,1.00,59725.00,9076966.00,9.00,70.75,109.00,184.00,423.00,1009.00,2072.00,3591.00,8353.05,1841.32
Output Token Count (tokens),951.86,1.00,59725.00,9076966.00,9.00,70.75,109.00,184.00,423.00,1009.00,2072.00,3591.00,8353.05,1841.32
Output Token Throughput Per User (tokens/sec/user),541.07,1.82,1450781.94,5155303.60,20.65,37.78,46.14,54.55,62.84,79.24,116.14,543.67,2124.54,20578.52
Prefill Throughput Per User (tokens/sec/user),12970.25,2.16,149518.50,123684309.99,39.23,179.25,476.03,1567.62,5961.83,18859.39,34239.10,46019.58,76226.68,16680.16
Request Latency (ms),39635.35,1175.82,874050.60,377962718.34,3721.10,5783.90,7386.70,12323.88,24945.04,51611.06,88622.81,118071.03,206525.20,44001.83
Time to First Output Token (ms),31814.23,913.77,285069.99,20583809.14,2125.57,3381.06,4321.16,7501.97,16329.94,40712.94,79062.12,107016.29,183010.35,39232.51
Time to First Token (ms),24794.00,676.95,357072.96,236435557.46,1924.58,2831.45,3565.37,5363.97,11301.04,32862.76,64469.86,85904.45,145128.58,31893.67
Time to Second Token (ms),70.99,0.00,6235.84,676689.31,0.00,1.01,1.64,2.55,4.06,57.10,87.11,242.82,1283.56,286.87
Tokens In Flight (tokens),13771237.61,0.00,19328971.98,,,,,,14769457.16,,16817495.58,17319909.37,18090433.25,3910464.83
Usage Completion Tokens (tokens),951.86,1.00,59725.00,9076966.00,9.00,70.75,109.00,184.00,423.00,1009.00,2072.00,3591.00,8353.05,1841.32
Usage Prompt Cache Read Tokens (tokens),128262.76,64.00,785856.00,1020586816.00,13854.72,23744.00,27904.00,48640.00,91520.00,151104.00,265203.20,386470.40,676044.80,125190.51
Usage Prompt Tokens (tokens),114842.03,151.00,789864.00,1095133579.00,1112.35,2967.00,7446.50,38644.25,80496.50,141192.25,250288.00,355223.75,665245.95,122337.47
Usage Total Tokens (tokens),115793.89,254.00,791521.00,1104210545.00,1453.55,4100.75,7941.00,39236.00,81390.00,142376.50,251545.00,356325.00,665521.15,122603.89

Metric,Value
Benchmark Duration (sec),3629.69
Input Token Throughput (tokens/sec),300860.78
OSL Mismatch Count,212.00
Output Token Throughput (tokens/sec),2493.67
Overall Usage Prompt Cache Read % (%),93.19
Request Count,9536.00
Request Throughput (requests/sec),2.62
Theoretical Prefix Cache Hit (%),96.45
Total Input Sequence Length (tokens),1095133579.00
Total Output Sequence Length (tokens),9076966.00
Total Output Tokens (tokens),9076966.00
Total Token Throughput (tokens/sec),303354.46
Total Usage Completion Tokens (tokens),9076966.00
Total Usage Prompt Cache Read Tokens (tokens),1020586816.00
Total Usage Prompt Tokens (tokens),1095133579.00
Total Usage Total Tokens (tokens),1104210545.00
