round,date,model,topology,transport,kvaware,kvd,metric,value,expected,verdict,evidence
step1,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,hicache_host_gb_per_rank,16.00,16,PASS,../results/step1_kvaware_kvd_4of4.txt
step1,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,kvd_gets_total,0,>0,FAIL,../results/step1_kvaware_kvd_4of4.txt
step2,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,correctness,32/32,32/32,PASS,../results/step2_prefix_reuse.txt
step2,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,kvd_gets_total,170,>0,PASS,../results/step2_prefix_reuse.txt
step2,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,kvd_hits_total,170,>0,PASS,../results/step2_prefix_reuse.txt
step2,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,kvd_misses_total,0,0,PASS,../results/step2_prefix_reuse.txt
step2,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,kvd_resident_bytes,600837120,>0,PASS,../results/step2_prefix_reuse.txt
step2,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,median_latency_cold_s,0.71,n/a,INFO,../results/step2_prefix_reuse.txt
step2,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,median_latency_warm_s,0.26,n/a,INFO,../results/step2_prefix_reuse.txt
step2,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,warm_speedup_attribution,gpu_radix_cache_not_kvd,n/a,INFO,../results/step2_prefix_reuse.txt
step3,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,correctness,31/32,>=31/32,PASS,../results/step3_restart_reload.txt
step3,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,gpu_vram_before_relaunch_mb,284,~284 (idle),PASS,../results/step3_restart_reload.txt
step3,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,kvd_gets_delta,170,>0,PASS,../results/step3_restart_reload.txt
step3,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,kvd_hits_delta,170,>0,PASS,../results/step3_restart_reload.txt
step3,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,kvd_sets_delta_prefill,0,0 (read-only reuse),PASS,../results/step3_restart_reload.txt
step3,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,median_latency_s,0.76,n/a,INFO,../results/step3_restart_reload.txt
step3,2026-07-30,GLM-5.2-MXFP4,1P1D TP8+TP8 two-node,mooncake RDMA,on,on,kvd_latency_benefit,none_observed,n/a,INFO,../results/step3_restart_reload.txt
step4,2026-07-30,GLM-5.2-MXFP4,1P2D TP8+2xTP4 two-node,mooncake RDMA,on,on,workers_registered,3,3,PASS,../results/step4_role_weights_routing.txt
step4,2026-07-30,GLM-5.2-MXFP4,1P2D TP8+2xTP4 two-node,mooncake RDMA,on,on,correctness_kvaware,32/32,32/32,PASS,../results/step4_role_weights_routing.txt
step4,2026-07-30,GLM-5.2-MXFP4,1P2D TP8+2xTP4 two-node,mooncake RDMA,on,on,correctness_roundrobin,32/32,32/32,PASS,../results/step4_role_weights_routing.txt
step4,2026-07-30,GLM-5.2-MXFP4,1P2D TP8+2xTP4 two-node,mooncake RDMA,on,on,split_kvaware_A_over_B,17/0,skewed,PASS,../results/step4_role_weights_routing.txt
step4,2026-07-30,GLM-5.2-MXFP4,1P2D TP8+2xTP4 two-node,mooncake RDMA,on,on,split_roundrobin_A_over_B,6/8,even,PASS,../results/step4_role_weights_routing.txt
step4,2026-07-30,GLM-5.2-MXFP4,1P2D TP8+2xTP4 two-node,mooncake RDMA,on,on,routing_effect_demonstrated,true,true,PASS,../results/step4_role_weights_routing.txt
step4,2026-07-30,GLM-5.2-MXFP4,1P2D TP8+2xTP4 two-node,mooncake RDMA,on,on,prefill_weight_effect,unmeasured (1 prefill worker),n/a,INFO,../results/step4_role_weights_routing.txt
step5,2026-07-30,GLM-5.2-MXFP4,n/a (classifier only),n/a,on,on,device_resolved_before_fix,none,a real device,FAIL,../patches/0002-note.md
step5,2026-07-30,GLM-5.2-MXFP4,n/a (classifier only),n/a,on,on,device_resolved_after_fix,md0 (?~ssd),a real device,PASS,../patches/0002-note.md
step5,2026-07-30,GLM-5.2-MXFP4,n/a (classifier only),n/a,on,on,io_mode,buffered,buffered on SATA (correct),INFO,../results/step5_nvme_l3.txt
step5,2026-07-30,GLM-5.2-MXFP4,n/a (classifier only),n/a,on,on,nvme_odirect_tested,false,true,BLOCKED,../results/step5_nvme_l3.txt
