# sampler start 2026-09-15T17:48:11Z endpoints=p0,p1,d0
17:48:11 p0=<URLError> | p1=<URLError> | d0=<URLError>
17:52:12 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:52:27 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:52:42 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:52:57 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:53:12 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:53:27 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:53:42 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:53:57 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:54:12 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:54:27 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:54:42 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:54:57 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:55:12 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:55:27 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:55:42 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:55:57 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:56:12 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:56:27 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:56:42 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:56:57 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:57:12 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:57:27 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:57:42 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:57:57 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:58:12 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:58:27 p0 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=9 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:58:42 p0 run=0 q=0 prealloc=0 xfer=0 http=2 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:58:57 p0 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:59:13 p0 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:59:28 p0 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:59:43 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=5 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
17:59:58 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:00:13 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:00:28 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:00:43 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:00:58 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:01:13 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:01:28 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:01:43 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:01:58 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:02:13 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:02:28 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:02:44 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0=<URLError>
18:02:59 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:03:14 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:03:29 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:03:44 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:03:59 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:04:14 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:04:29 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:04:44 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:05:00 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:05:15 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:05:30 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:05:45 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:06:00 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:06:15 p0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=1 kv=0.000 hit=0.000 gen=0
18:06:45 p0 run=0 q=0 prealloc=0 xfer=0 http=68 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=76 kv=0.000 hit=0.000 gen=0 | d0=<TimeoutError>
18:07:01 p0 run=0 q=0 prealloc=0 xfer=0 http=68 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=76 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=143 kv=0.000 hit=0.000 gen=0
18:07:16 p0 run=0 q=0 prealloc=0 xfer=0 http=68 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=76 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=143 kv=0.000 hit=0.000 gen=0
18:07:31 p0 run=0 q=0 prealloc=0 xfer=0 http=68 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=76 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=143 kv=0.000 hit=0.000 gen=0
18:07:46 p0 run=0 q=0 prealloc=0 xfer=0 http=68 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=76 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=143 kv=0.000 hit=0.000 gen=0
18:08:01 p0 run=0 q=0 prealloc=0 xfer=0 http=68 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=76 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=143 kv=0.000 hit=0.000 gen=0
18:08:16 p0 run=0 q=0 prealloc=0 xfer=0 http=68 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=76 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=143 kv=0.000 hit=0.000 gen=0
18:08:31 p0 run=8 q=53 prealloc=0 xfer=0 http=68 kv=0.010 hit=0.000 gen=0 | p1 run=10 q=56 prealloc=0 xfer=0 http=75 kv=0.010 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=142 kv=0.000 hit=0.000 gen=0
18:08:47 p0 run=8 q=48 prealloc=0 xfer=0 http=60 kv=0.016 hit=0.000 gen=0 | p1 run=9 q=49 prealloc=0 xfer=0 http=66 kv=0.017 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=124 kv=0.000 hit=0.000 gen=0
18:09:02 p0 run=9 q=43 prealloc=0 xfer=0 http=54 kv=0.018 hit=0.000 gen=0 | p1 run=8 q=48 prealloc=0 xfer=0 http=60 kv=0.020 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=113 kv=0.000 hit=0.000 gen=0
18:09:17 p0 run=8 q=39 prealloc=0 xfer=0 http=50 kv=0.023 hit=0.000 gen=0 | p1 run=8 q=42 prealloc=0 xfer=0 http=53 kv=0.014 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=101 kv=0.000 hit=0.000 gen=0
18:09:32 p0 run=8 q=35 prealloc=0 xfer=0 http=45 kv=0.024 hit=0.000 gen=0 | p1 run=8 q=40 prealloc=0 xfer=0 http=51 kv=0.025 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=95 kv=0.000 hit=0.000 gen=0
18:09:47 p0 run=8 q=30 prealloc=0 xfer=0 http=41 kv=0.021 hit=0.000 gen=0 | p1 run=8 q=34 prealloc=0 xfer=0 http=44 kv=0.019 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=83 kv=0.000 hit=0.000 gen=0
18:10:02 p0 run=8 q=28 prealloc=0 xfer=0 http=37 kv=0.024 hit=0.000 gen=0 | p1 run=8 q=32 prealloc=0 xfer=0 http=42 kv=0.031 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=78 kv=0.000 hit=0.000 gen=0
18:10:18 p0 run=8 q=26 prealloc=0 xfer=0 http=35 kv=0.029 hit=0.000 gen=0 | p1 run=8 q=29 prealloc=0 xfer=0 http=39 kv=0.027 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=72 kv=0.000 hit=0.000 gen=0
18:10:33 p0 run=9 q=21 prealloc=0 xfer=0 http=32 kv=0.029 hit=0.000 gen=0 | p1 run=8 q=27 prealloc=0 xfer=0 http=37 kv=0.036 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=68 kv=0.000 hit=0.000 gen=0
18:10:48 p0 run=8 q=20 prealloc=0 xfer=0 http=29 kv=0.030 hit=0.000 gen=0 | p1 run=8 q=26 prealloc=0 xfer=0 http=35 kv=0.041 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=63 kv=0.000 hit=0.000 gen=0
18:11:03 p0 run=8 q=19 prealloc=0 xfer=0 http=28 kv=0.043 hit=0.000 gen=0 | p1 run=8 q=22 prealloc=0 xfer=0 http=31 kv=0.031 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=58 kv=0.000 hit=0.000 gen=0
18:11:18 p0 run=8 q=17 prealloc=0 xfer=0 http=27 kv=0.051 hit=0.000 gen=0 | p1 run=8 q=20 prealloc=0 xfer=0 http=30 kv=0.041 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=56 kv=0.000 hit=0.000 gen=0
18:11:34 p0 run=8 q=13 prealloc=0 xfer=0 http=23 kv=0.029 hit=0.000 gen=0 | p1 run=8 q=19 prealloc=0 xfer=0 http=29 kv=0.049 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=50 kv=0.000 hit=0.000 gen=0
18:11:49 p0 run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.035 hit=0.000 gen=0 | p1 run=8 q=17 prealloc=0 xfer=0 http=26 kv=0.043 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=46 kv=0.000 hit=0.000 gen=0
18:12:04 p0 run=9 q=11 prealloc=0 xfer=0 http=21 kv=0.050 hit=0.000 gen=0 | p1 run=8 q=14 prealloc=0 xfer=0 http=24 kv=0.039 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=44 kv=0.000 hit=0.000 gen=0
18:12:19 p0 run=8 q=10 prealloc=0 xfer=0 http=20 kv=0.060 hit=0.000 gen=0 | p1 run=8 q=12 prealloc=0 xfer=0 http=22 kv=0.030 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=40 kv=0.000 hit=0.000 gen=0
18:12:34 p0 run=8 q=10 prealloc=0 xfer=0 http=19 kv=0.062 hit=0.000 gen=0 | p1 run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.046 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=39 kv=0.000 hit=0.000 gen=0
18:12:49 p0 run=8 q=10 prealloc=0 xfer=0 http=19 kv=0.077 hit=0.000 gen=0 | p1 run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.064 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=39 kv=0.000 hit=0.000 gen=0
18:13:05 p0 run=8 q=7 prealloc=0 xfer=0 http=16 kv=0.061 hit=0.000 gen=0 | p1 run=8 q=12 prealloc=0 xfer=0 http=21 kv=0.076 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=36 kv=0.000 hit=0.000 gen=0
18:13:20 p0 run=8 q=7 prealloc=0 xfer=0 http=16 kv=0.068 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=21 kv=0.092 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=36 kv=0.000 hit=0.000 gen=0
18:13:35 p0 run=8 q=5 prealloc=0 xfer=0 http=14 kv=0.057 hit=0.000 gen=0 | p1 run=8 q=9 prealloc=0 xfer=0 http=19 kv=0.076 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=32 kv=0.000 hit=0.000 gen=0
18:13:50 p0 run=8 q=5 prealloc=0 xfer=0 http=14 kv=0.064 hit=0.000 gen=0 | p1 run=8 q=8 prealloc=0 xfer=0 http=18 kv=0.088 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=30 kv=0.000 hit=0.000 gen=0
18:14:06 p0 run=8 q=4 prealloc=0 xfer=0 http=13 kv=0.059 hit=0.000 gen=0 | p1 run=8 q=7 prealloc=0 xfer=0 http=16 kv=0.081 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=28 kv=0.000 hit=0.000 gen=0
18:14:21 p0 run=8 q=3 prealloc=0 xfer=0 http=12 kv=0.070 hit=0.000 gen=0 | p1 run=8 q=6 prealloc=0 xfer=0 http=15 kv=0.091 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=26 kv=0.000 hit=0.000 gen=0
18:14:36 p0 run=8 q=2 prealloc=0 xfer=0 http=12 kv=0.084 hit=0.000 gen=0 | p1 run=8 q=5 prealloc=0 xfer=0 http=14 kv=0.085 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=25 kv=0.000 hit=0.000 gen=0
18:14:51 p0 run=8 q=1 prealloc=0 xfer=0 http=10 kv=0.075 hit=0.000 gen=0 | p1 run=8 q=4 prealloc=0 xfer=0 http=14 kv=0.096 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=23 kv=0.000 hit=0.000 gen=0
18:15:06 p0 run=8 q=0 prealloc=0 xfer=0 http=10 kv=0.086 hit=0.000 gen=0 | p1 run=8 q=4 prealloc=0 xfer=0 http=13 kv=0.084 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=22 kv=0.000 hit=0.000 gen=0
18:15:21 p0 run=8 q=0 prealloc=0 xfer=0 http=9 kv=0.096 hit=0.000 gen=0 | p1 run=8 q=4 prealloc=0 xfer=0 http=13 kv=0.084 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0
18:15:37 p0 run=8 q=0 prealloc=0 xfer=0 http=9 kv=0.099 hit=0.000 gen=0 | p1 run=9 q=2 prealloc=0 xfer=0 http=13 kv=0.091 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=21 kv=0.000 hit=0.000 gen=0
18:15:52 p0 run=8 q=0 prealloc=0 xfer=0 http=9 kv=0.101 hit=0.000 gen=0 | p1 run=8 q=1 prealloc=0 xfer=0 http=10 kv=0.071 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=18 kv=0.000 hit=0.000 gen=0
18:16:07 p0 run=8 q=0 prealloc=0 xfer=0 http=9 kv=0.111 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=6 kv=0.077 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=14 kv=0.000 hit=0.000 gen=0
18:16:22 p0 run=8 q=0 prealloc=0 xfer=0 http=9 kv=0.121 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=5 kv=0.084 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=13 kv=0.000 hit=0.000 gen=0
18:16:37 p0 run=8 q=0 prealloc=0 xfer=0 http=9 kv=0.133 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=4 kv=0.091 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=12 kv=0.000 hit=0.000 gen=0
18:16:52 p0 run=8 q=0 prealloc=0 xfer=0 http=8 kv=0.141 hit=0.000 gen=0 | p1 run=8 q=0 prealloc=0 xfer=0 http=4 kv=0.096 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=11 kv=0.000 hit=0.000 gen=0
