Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Prefill Throughput Per User (tokens/sec/user),2791.42,0.24,99207.03,12111956.62,5.15,25.90,70.88,197.49,572.41,1726.48,7051.67,17001.85,32596.26,6816.77
Request Latency (ms),191793.94,488.31,971022.11,832193895.59,4409.48,7544.19,15498.03,57846.82,144539.87,263581.67,455383.67,596916.11,790425.45,179597.68
Time to First Output Token (ms),184983.28,487.54,971022.11,30337258.59,1825.57,3157.40,5196.26,49011.23,127811.15,234215.08,475846.10,577090.44,704601.36,185149.15
Time to First Token (ms),181104.60,291.26,901086.69,785812867.95,2591.96,3765.22,7516.99,46818.49,132823.44,250757.22,443827.09,584194.71,777810.19,178137.08
Time to Second Token (ms),55.28,0.00,11704.13,239652.45,0.00,0.15,0.57,1.40,8.17,46.69,68.58,193.16,753.42,247.00
Tokens In Flight (tokens),27241035.27,0.00,39569403.58,,,,,,28867632.17,,37988826.17,38458419.00,39064289.32,9586488.23
Usage Completion Tokens (tokens),958.22,1.00,59903.00,4157698.00,10.00,75.00,109.00,197.50,420.00,950.00,2028.80,3396.10,8311.72,2244.44
Usage Prompt Cache Read Tokens (tokens),101471.99,64.00,605120.00,341453248.00,11696.64,23744.00,23744.00,32064.00,67520.00,121280.00,237132.80,331827.20,492198.40,101887.46
Usage Prompt Tokens (tokens),98205.96,150.00,832048.00,426115648.00,664.00,2967.00,9623.00,30250.50,62545.00,120308.50,237112.00,337657.10,536208.08,107279.32
Usage Total Tokens (tokens),99164.17,195.00,838249.00,430273346.00,745.14,4033.90,10343.40,30814.00,63199.00,122002.50,238094.00,338453.00,539925.24,107660.22

Metric,Value
Benchmark Duration (sec),3629.55
Completed Requests (Success + Error),4357.00
Context Overflow Count,0.00
Error Request Count,18.00
Input Token Throughput (tokens/sec),117064.69
OSL Mismatch Count,47.00
Output Token Throughput (tokens/sec),1142.22
Overall Usage Prompt Cache Read % (%),80.13
Request Count,4339.00
Request Error Rate (%),0.41
Request Throughput (requests/sec),1.19
Theoretical Prefix Cache Hit (%),95.53
Total Error Input Sequence Length (tokens),8867277.00
Total Input Sequence Length (tokens),426115648.00
Total Output Sequence Length (tokens),4157698.00
Total Output Tokens (tokens),4157698.00
Total Token Throughput (tokens/sec),118206.91
Total Usage Completion Tokens (tokens),4157698.00
Total Usage Prompt Cache Read Tokens (tokens),341453248.00
Total Usage Prompt Tokens (tokens),426115648.00
Total Usage Total Tokens (tokens),430273346.00
