Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Connection Reused (ratio),0.98,0.00,1.00,10480.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.12
HTTP Data Received (KB),66.19,1.04,4203.02,704367.62,1.51,3.02,8.17,14.05,31.02,71.78,143.91,246.29,527.59,126.49
HTTP Data Sent (KB),473.89,0.62,3293.25,5042690.25,4.04,11.54,15.00,143.25,301.26,572.64,1056.38,1681.39,2776.99,544.74
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),18362.34,333.52,840635.90,195393616.96,1263.25,2656.32,3533.33,5779.05,10452.30,20613.27,37098.00,59831.87,132530.69,28502.54
HTTP Receiving (ms),15002.47,0.00,839478.86,159641253.32,6.12,93.89,540.47,2915.59,7194.00,16707.36,32809.10,55440.89,126007.28,28107.03
HTTP Sending (ms),0.20,0.05,2.27,2171.08,0.07,0.14,0.15,0.16,0.19,0.21,0.24,0.31,0.67,0.10
HTTP Total Time (ms),18362.34,333.52,840635.90,195393689.10,1263.25,2656.32,3533.33,5779.05,10452.30,20613.27,37098.00,59831.87,132530.69,28502.54
HTTP Waiting (TTFB) (ms),3359.66,172.09,126471.68,35750192.56,397.48,582.86,806.74,1397.73,2414.33,4043.11,6376.98,8615.43,20114.62,3945.25
Input Sequence Length (tokens),121630.52,151.00,845551.00,1294270394.00,1045.60,2966.00,3865.00,36614.00,77218.00,146687.00,271459.00,431408.00,713694.20,139872.62
Inter Chunk Latency (ms),57.19,0.00,11018.00,159624807.48,0.00,0.78,1.37,1.79,2.42,38.93,71.56,158.87,1307.20,265.38
Inter Token Latency (ms),16.69,0.00,567.67,177459.58,0.45,0.91,6.00,12.40,15.99,19.14,23.08,28.81,56.26,16.08
OSL Mismatch Diff % (%),-3.67,-99.94,0.00,-39032.14,-98.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.56
Output Sequence Length (tokens),945.48,1.00,59903.00,10060879.00,6.00,27.00,103.00,189.00,436.00,1029.00,2066.00,3536.00,7560.20,1828.48
Output Token Count (tokens),945.48,1.00,59903.00,10060879.00,6.00,27.00,103.00,189.00,436.00,1029.00,2066.00,3536.00,7560.20,1828.48
Output Token Throughput Per User (tokens/sec/user),913.23,1.76,2472119.98,9706730.37,17.77,34.71,43.33,52.23,62.53,80.59,165.11,1071.77,2163.60,29638.07
Prefill Throughput Per User (tokens/sec/user),50649.06,26.56,268890.18,538956607.16,403.22,1404.77,3125.22,12025.78,35089.11,75576.16,123230.71,152894.13,205420.15,48957.85
Request Latency (ms),18361.25,333.55,840635.95,195382070.79,1262.03,2652.83,3531.69,5777.10,10452.36,20613.29,37098.05,59831.91,132530.71,28502.99
Time to First Output Token (ms),7686.87,414.05,301768.98,9685458.09,599.61,907.26,1274.43,2039.26,3778.21,6786.29,13894.14,27983.58,74426.97,15945.70
Time to First Token (ms),3360.33,172.30,126471.95,35757263.31,397.77,583.62,807.28,1398.56,2414.66,4043.40,6377.17,8615.66,20115.41,3945.21
Time to Second Token (ms),80.32,0.00,6276.21,854173.84,0.00,0.49,1.55,2.48,3.82,55.52,95.82,257.16,1890.73,331.32
Tokens In Flight (tokens),8338042.44,0.00,14323809.92,,,,,,8846893.28,,11208267.94,11819540.64,13125100.63,2806765.91
Usage Completion Tokens (tokens),945.48,1.00,59903.00,10060879.00,6.00,27.00,103.00,189.00,436.00,1029.00,2066.00,3536.00,7560.20,1828.48
Usage Prompt Cache Read Tokens (tokens),137550.86,64.00,842944.00,1243597312.00,14080.00,23744.00,28800.00,47680.00,90816.00,163904.00,284800.00,478464.00,724467.20,143031.32
Usage Prompt Tokens (tokens),121630.52,151.00,845551.00,1294270394.00,1045.60,2966.00,3865.00,36614.00,77218.00,146687.00,271459.00,431408.00,713694.20,139872.62
Usage Total Tokens (tokens),122576.01,253.00,846343.00,1304331273.00,1088.60,4031.00,5049.00,37226.00,78191.00,148334.00,272202.00,433944.00,714297.80,140106.03

Metric,Value
Benchmark Duration (sec),3629.13
Input Token Throughput (tokens/sec),355568.64
OSL Mismatch Count,498.00
Output Token Throughput (tokens/sec),2763.98
Overall Usage Prompt Cache Read % (%),96.08
Request Count,10641.00
Request Throughput (requests/sec),2.92
Theoretical Prefix Cache Hit (%),96.61
Total Input Sequence Length (tokens),1294270394.00
Total Output Sequence Length (tokens),10060879.00
Total Output Tokens (tokens),10060879.00
Total Token Throughput (tokens/sec),358332.62
Total Usage Completion Tokens (tokens),10060879.00
Total Usage Prompt Cache Read Tokens (tokens),1243597312.00
Total Usage Prompt Tokens (tokens),1294270394.00
Total Usage Total Tokens (tokens),1304331273.00
