Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Prefill Throughput Per User (tokens/sec/user),1250.83,0.63,55969.29,4576783.29,4.28,18.86,50.26,163.88,373.65,818.85,2036.81,3823.18,22054.61,3848.02
Request Latency (ms),247651.54,377.47,1819542.16,906157002.40,7752.57,20571.19,41535.24,105928.59,168519.32,281352.38,525053.34,752267.80,1648586.65,268017.97
Time to First Output Token (ms),236015.90,3736.00,1038070.47,34930353.49,10424.30,63626.05,84911.40,111646.99,156630.43,246885.27,491735.66,682400.61,1008945.43,210155.55
Time to First Token (ms),238832.91,307.70,1806043.29,873889624.88,3293.26,14457.19,33223.65,98554.12,159511.44,273210.38,510119.92,745538.74,1633166.19,267033.57
Time to Second Token (ms),44.23,0.00,2706.16,161668.81,0.00,0.10,0.54,1.21,26.54,44.28,61.39,107.49,639.40,131.01
Tokens In Flight (tokens),24785966.10,0.00,41905546.72,,,,,,29196706.23,,35734764.40,40045940.67,41343042.14,11080605.25
Usage Completion Tokens (tokens),874.42,1.00,59725.00,3199501.00,8.00,70.00,108.80,189.50,405.00,883.50,1769.40,3006.90,6969.00,1990.69
Usage Prompt Cache Read Tokens (tokens),81670.77,384.00,572800.00,231618304.00,8563.20,23744.00,23744.00,30784.00,56320.00,107600.00,172672.00,232336.00,355200.00,72206.49
Usage Prompt Tokens (tokens),83648.92,151.00,695388.00,306071404.00,903.20,2967.00,9750.60,29272.00,55774.00,111137.00,181666.20,246721.30,382473.26,82999.96
Usage Total Tokens (tokens),84523.34,278.00,695402.00,309270905.00,965.16,4076.70,10856.20,29863.00,56369.00,112036.00,182836.80,248194.50,383195.98,83356.52

Metric,Value
Benchmark Duration (sec),3627.30
Completed Requests (Success + Error),3710.00
Context Overflow Count,0.00
Error Request Count,51.00
Input Token Throughput (tokens/sec),84085.52
OSL Mismatch Count,55.00
Output Token Throughput (tokens/sec),878.98
Overall Usage Prompt Cache Read % (%),75.67
Request Count,3659.00
Request Error Rate (%),1.37
Request Throughput (requests/sec),1.01
Theoretical Prefix Cache Hit (%),94.76
Total Error Input Sequence Length (tokens),20224244.00
Total Input Sequence Length (tokens),306071404.00
Total Output Sequence Length (tokens),3199501.00
Total Output Tokens (tokens),3199501.00
Total Token Throughput (tokens/sec),84964.50
Total Usage Completion Tokens (tokens),3199501.00
Total Usage Prompt Cache Read Tokens (tokens),231618304.00
Total Usage Prompt Tokens (tokens),306071404.00
Total Usage Total Tokens (tokens),309270905.00
