Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Usage Prompt Tokens (tokens),80810.69,17344.00,244919.00,18505649.00,22373.44,29494.80,35704.80,50209.00,69911.00,101485.00,142430.00,159464.00,240623.08,44460.80
Usage Total Tokens (tokens),81860.48,17421.00,245129.00,18746049.00,22838.56,29985.20,36847.40,50715.00,70792.00,106538.00,142537.00,160885.00,241880.80,44672.86

Metric,Value
Benchmark Duration (sec),907.28
Completed Requests (Success + Error),231.00
Context Overflow Count,0.00
Error Request Count,2.00
Input Token Throughput (tokens/sec),19898.53
Maximum Response Timestamp (ns),1785818160440774144.00
Minimum Request Timestamp (ns),1785817253156903168.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),258.49
Request Count,229.00
Request Error Rate (%),0.87
Request Throughput (requests/sec),0.25
Theoretical Prefix Cache Hit (%),50.84
Total Input Sequence Length (tokens),18505649.00
Total Output Sequence Length (tokens),240400.00
Total Output Tokens (tokens),240400.00
Total Token Throughput (tokens/sec),20157.02
Total Usage Completion Tokens (tokens),240400.00
Total Usage Prompt Cache Read Tokens (tokens),9401216.00
Total Usage Prompt Tokens (tokens),18505649.00
Total Usage Total Tokens (tokens),18746049.00
