Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Effective Total Throughput (tokens/sec),404055.68,0.00,3026647.24,,,,,,401201.03,,644497.88,707650.27,799638.36,180692.96
Full Decode Duration (ms),17302.92,0.02,992660.35,210507287.79,9.10,105.87,398.50,3183.17,8244.57,18865.67,38809.58,64585.83,155488.54,31409.80
Full-Response Inter Token Latency (ms),18.02,0.00,1840.27,219178.43,0.55,1.04,3.19,12.05,17.85,21.11,26.42,33.23,58.90,24.10
Full-Response Output Token Throughput Per User (tokens/sec/user),459.19,0.54,485255.69,5584169.82,16.98,30.10,37.85,47.37,56.01,82.98,313.70,959.78,1823.11,8470.57
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,263.08,1.00,16008.00,3200603.00,5.00,20.00,31.00,54.00,122.00,282.00,578.00,970.50,2288.85,474.95
HTTP Chunks Sent,1.00,1.00,1.00,12166.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.01,0.00,17.07,140.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.23
HTTP Connection Overhead (ms),0.01,0.00,17.07,140.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.41,0.23
HTTP Connection Reused (ratio),0.99,0.00,1.00,12011.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.11
HTTP Data Received (KB),67.69,1.03,4155.69,823556.67,1.75,6.08,8.42,14.17,31.72,72.21,147.98,249.31,584.80,121.39
HTTP Data Sent (KB),467.14,0.61,3689.94,5683282.05,4.80,11.54,18.70,156.33,330.92,579.64,990.69,1414.00,2629.29,499.06
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),23905.28,454.27,994733.13,290831633.70,2495.39,4270.76,5442.49,8464.95,14396.94,26475.11,47868.30,73152.03,167450.39,33107.53
HTTP Receiving (ms),17303.29,0.00,992660.06,210511880.34,8.96,105.65,398.52,3183.03,8244.35,18865.13,38808.82,64585.19,155487.89,31409.62
HTTP Sending (ms),0.23,0.05,17.29,2812.13,0.08,0.14,0.16,0.19,0.21,0.23,0.26,0.34,0.74,0.26
HTTP Total Time (ms),23905.29,454.27,994733.13,290831774.03,2495.39,4270.76,5442.49,8464.95,14396.94,26475.11,47868.30,73152.03,167450.39,33107.54
HTTP Waiting (TTFB) (ms),6601.75,227.12,318226.15,80316941.23,631.30,1309.54,1935.53,3020.39,4837.79,7413.97,11579.15,18193.91,31522.57,9258.31
Input Sequence Length (tokens),119912.68,150.00,950585.00,1458857723.00,1301.00,2966.00,4823.00,40058.50,84934.50,148600.75,254360.00,364299.00,676051.70,128135.29
Inter Chunk Latency (ms),63.77,0.00,10536.21,210485763.09,0.00,0.23,1.62,2.16,2.87,4.95,71.06,176.92,1635.29,337.19
Inter Token Latency (ms),17.81,0.00,585.30,216544.18,0.54,0.99,3.11,11.99,17.84,21.10,26.34,33.14,58.68,15.29
OSL Mismatch Diff % (%),-1.37,-99.99,0.00,-16690.65,-88.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.84
Output Sequence Length (tokens),979.62,1.00,59903.00,11918091.00,9.00,75.00,109.00,192.00,449.00,1046.75,2172.00,3632.75,8512.20,1781.72
Output Token Count (tokens),979.62,1.00,59903.00,11918091.00,9.00,75.00,109.00,192.00,449.00,1046.75,2172.00,3632.75,8512.20,1781.72
Output Token Throughput Per User (tokens/sec/user),1323.95,1.71,2571515.52,16082071.18,17.04,30.16,37.95,47.38,56.02,83.11,312.48,988.69,1827.91,39418.99
Prefill Throughput Per User (tokens/sec/user),28154.85,15.16,210061.88,342531947.19,128.43,515.28,1347.74,6653.63,19010.16,38763.95,68332.59,91969.39,135928.69,29835.01
Request Latency (ms),23904.08,454.27,994733.17,290817050.37,2488.44,4270.06,5437.42,8464.46,14397.00,26475.14,47868.31,73152.10,167450.45,33108.12
Time to First Output Token (ms),12104.99,444.62,318287.43,7747195.83,776.18,1386.06,2035.87,3416.42,5921.83,10458.05,23640.39,38143.09,127654.21,25076.05
Time to First Token (ms),6602.93,227.36,318226.54,80331287.28,631.80,1309.85,1937.63,3021.85,4838.10,7418.65,11579.39,18194.17,31522.83,9258.26
Time to Second Token (ms),81.80,0.00,7821.47,994648.82,0.00,0.11,1.86,2.97,4.32,15.30,87.64,235.50,1994.02,404.73
Tokens In Flight (tokens),11910822.29,0.00,18671522.28,,,,,,12667589.31,,15026373.54,15892123.29,17468131.16,3556394.32
Usage Completion Tokens (tokens),979.62,1.00,59903.00,11918091.00,9.00,75.00,109.00,192.00,449.00,1046.75,2172.00,3632.75,8512.20,1781.72
Usage Prompt Cache Read Tokens (tokens),134822.25,64.00,826944.00,1396354048.00,16576.00,24576.00,30912.00,52416.00,97920.00,161856.00,269785.60,406899.20,693283.84,129653.00
Usage Prompt Tokens (tokens),119912.68,150.00,950585.00,1458857723.00,1301.00,2966.00,4823.00,40058.50,84934.50,148600.75,254360.00,364299.00,676051.70,128135.29
Usage Total Tokens (tokens),120892.31,252.00,959118.00,1470775814.00,1463.30,4052.25,5448.00,40625.75,85836.50,149975.50,255513.50,365650.75,678256.45,128399.31

Metric,Value
Benchmark Duration (sec),3629.13
Input Token Throughput (tokens/sec),400784.87
OSL Mismatch Count,213.00
Output Token Throughput (tokens/sec),3274.20
Overall Usage Prompt Cache Read % (%),95.72
Request Count,12166.00
Request Throughput (requests/sec),3.34
Theoretical Prefix Cache Hit (%),96.51
Total Input Sequence Length (tokens),1458857723.00
Total Output Sequence Length (tokens),11918091.00
Total Output Tokens (tokens),11918091.00
Total Token Throughput (tokens/sec),404059.06
Total Usage Completion Tokens (tokens),11918091.00
Total Usage Prompt Cache Read Tokens (tokens),1396354048.00
Total Usage Prompt Tokens (tokens),1458857723.00
Total Usage Total Tokens (tokens),1470775814.00
