# sampler start 2026-09-15T18:56:23Z endpoints=p0,p1,p2,d0
18:56:24 p0=<URLError> | p1=<URLError> | p2=<URLError> | d0=<URLError>
19:15:45 p0 run=0 q=0 prealloc=0 xfer=0 http=44 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=47 kv=0.000 hit=0.000 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=54 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=143 kv=0.000 hit=0.000 gen=0
19:16:01 p0 run=0 q=0 prealloc=0 xfer=0 http=44 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=47 kv=0.000 hit=0.000 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=54 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=143 kv=0.000 hit=0.000 gen=0
19:16:16 p0 run=0 q=0 prealloc=0 xfer=0 http=44 kv=0.000 hit=0.000 gen=0 | p1 run=0 q=0 prealloc=0 xfer=0 http=47 kv=0.000 hit=0.000 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=54 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=143 kv=0.000 hit=0.000 gen=0
19:16:31 p0 run=1 q=3 prealloc=0 xfer=0 http=44 kv=0.000 hit=0.000 gen=0 | p1 run=8 q=36 prealloc=0 xfer=0 http=47 kv=0.010 hit=0.000 gen=0 | p2 run=0 q=0 prealloc=0 xfer=0 http=54 kv=0.000 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=143 kv=0.000 hit=0.000 gen=0
19:16:47 p0 run=8 q=30 prealloc=0 xfer=0 http=42 kv=0.017 hit=0.000 gen=0 | p1 run=9 q=28 prealloc=0 xfer=0 http=41 kv=0.013 hit=0.000 gen=0 | p2 run=9 q=32 prealloc=0 xfer=0 http=52 kv=0.017 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=130 kv=0.000 hit=0.000 gen=0
19:17:02 p0 run=8 q=25 prealloc=0 xfer=0 http=35 kv=0.019 hit=0.000 gen=0 | p1 run=8 q=25 prealloc=0 xfer=0 http=37 kv=0.024 hit=0.000 gen=0 | p2 run=9 q=32 prealloc=0 xfer=0 http=45 kv=0.021 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=115 kv=0.000 hit=0.000 gen=0
19:17:17 p0 run=9 q=17 prealloc=0 xfer=0 http=32 kv=0.024 hit=0.000 gen=0 | p1 run=8 q=21 prealloc=0 xfer=0 http=31 kv=0.019 hit=0.000 gen=0 | p2 run=8 q=27 prealloc=0 xfer=0 http=38 kv=0.017 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=96 kv=0.000 hit=0.000 gen=0
19:17:33 p0 run=8 q=17 prealloc=0 xfer=0 http=27 kv=0.026 hit=0.000 gen=0 | p1 run=8 q=19 prealloc=0 xfer=0 http=29 kv=0.029 hit=0.000 gen=0 | p2 run=9 q=23 prealloc=0 xfer=0 http=33 kv=0.020 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=86 kv=0.000 hit=0.000 gen=0
19:17:48 p0 run=9 q=14 prealloc=0 xfer=0 http=26 kv=0.040 hit=0.000 gen=0 | p1 run=9 q=14 prealloc=0 xfer=0 http=25 kv=0.029 hit=0.000 gen=0 | p2 run=8 q=21 prealloc=0 xfer=0 http=30 kv=0.025 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=77 kv=0.000 hit=0.000 gen=0
19:18:03 p0 run=8 q=10 prealloc=0 xfer=0 http=19 kv=0.019 hit=0.000 gen=0 | p1 run=9 q=12 prealloc=0 xfer=0 http=22 kv=0.030 hit=0.000 gen=0 | p2 run=8 q=19 prealloc=0 xfer=0 http=28 kv=0.034 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=67 kv=0.000 hit=0.000 gen=0
19:18:18 p0 run=8 q=10 prealloc=0 xfer=0 http=19 kv=0.036 hit=0.000 gen=0 | p1 run=8 q=11 prealloc=0 xfer=0 http=20 kv=0.036 hit=0.000 gen=0 | p2 run=8 q=16 prealloc=0 xfer=0 http=25 kv=0.033 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=62 kv=0.000 hit=0.000 gen=0
19:18:33 p0 run=8 q=8 prealloc=0 xfer=0 http=17 kv=0.043 hit=0.000 gen=0 | p1 run=8 q=9 prealloc=0 xfer=0 http=18 kv=0.044 hit=0.000 gen=0 | p2 run=8 q=14 prealloc=0 xfer=0 http=24 kv=0.034 hit=0.000 gen=0 | d0 run=0 q=0 prealloc=0 xfer=0 http=56 kv=0.000 hit=0.000 gen=0
