Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
HTTP Connection Overhead (ms),0.15,0.00,1.48,44.99,0.00,0.00,0.00,0.00,0.00,0.40,0.47,0.51,1.22,0.25
HTTP Connection Reused (ratio),0.69,0.00,1.00,209.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),106.60,1.82,1766.28,32299.92,1.85,2.58,4.16,9.97,28.76,93.26,242.04,553.19,1104.85,217.14
HTTP Data Sent (KB),314.15,67.54,952.38,95187.24,85.04,114.34,138.37,194.18,280.38,410.35,549.82,603.13,914.91,167.64
HTTP DNS Lookup (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Duration (excl. conn) (ms),36956.73,940.11,256284.52,11197889.36,3954.61,6063.76,9528.38,18326.05,27589.17,43534.89,72251.75,94257.62,178617.55,33294.31
HTTP Receiving (ms),14210.59,0.17,236061.53,4305807.99,125.88,312.87,506.49,1357.51,4014.16,12480.68,32388.87,69324.83,149164.10,28875.15
HTTP Sending (ms),0.33,0.10,1.80,98.72,0.11,0.13,0.14,0.15,0.19,0.56,0.68,0.73,1.51,0.27
HTTP Total Time (ms),36956.88,940.11,256284.52,11197934.35,3954.61,6064.96,9528.38,18326.05,27589.17,43534.89,72251.75,94257.62,178617.55,33294.29
HTTP Waiting (TTFB) (ms),22745.82,520.33,85755.94,6891982.65,1165.41,3651.10,5765.22,12152.31,19495.48,28326.71,42483.41,53743.05,83574.57,16388.76
Input Sequence Length (tokens),81172.84,17343.00,244921.00,24595372.00,22353.52,29277.20,35777.60,50175.00,72647.00,105796.50,141303.00,156388.50,237218.36,43316.57
Inter Chunk Latency (ms),35.26,0.00,3908.61,4305784.22,0.00,0.00,0.09,29.39,32.18,33.38,34.84,35.84,277.69,54.48
Inter Token Latency (ms),17.81,0.02,305.73,5395.16,9.01,9.86,11.25,12.50,14.67,17.63,23.28,29.61,72.41,19.60
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),1232.95,8.00,20000.00,373583.00,8.00,12.10,23.00,77.00,265.00,911.00,2845.00,7191.10,15567.30,2808.31
Output Token Count (tokens),1232.95,8.00,20000.00,373583.00,8.00,12.10,23.00,77.00,265.00,911.00,2845.00,7191.10,15567.30,2808.31
Output Token Throughput Per User (tokens/sec/user),221.01,3.27,46064.75,66966.57,13.81,33.78,42.95,56.71,68.16,80.03,88.86,101.38,111.00,2638.27
Prefill Throughput Per User (tokens/sec/user),6063.02,591.29,65054.08,1837095.57,702.05,992.95,1488.78,2363.44,4257.13,6887.97,10958.63,16154.23,43536.60,7641.00
Request Latency (ms),36956.76,940.13,256284.53,11197898.28,3954.65,6063.91,9528.39,18326.05,27589.20,43534.91,72251.79,94257.64,178617.57,33294.31
Requested OSL (tokens),1232.95,8.00,20000.00,373583.00,8.00,12.10,23.00,77.00,265.00,911.00,2845.00,7191.10,15567.30,2808.31
Time to First Output Token (ms),22746.25,520.60,85756.18,6892114.05,1165.82,3651.49,5765.53,12152.55,19496.26,28327.11,42483.79,53743.35,83574.78,16388.73
Time to First Token (ms),22746.25,520.60,85756.18,6892114.05,1165.82,3651.49,5765.53,12152.55,19496.26,28327.11,42483.79,53743.35,83574.78,16388.73
Time to Second Token (ms),138.41,0.00,3908.61,41938.33,0.00,0.07,17.73,47.13,63.04,69.32,274.55,535.17,908.21,335.08
Tokens In Flight (tokens),1053507.29,0.00,1685395.62,,,,,,1083459.27,,1352123.97,1499474.51,1618457.87,281548.70
Usage Completion Tokens (tokens),1232.95,8.00,20000.00,373583.00,8.00,12.10,23.00,77.00,265.00,911.00,2845.00,7191.10,15567.30,2808.31
Usage Prompt Cache Read Tokens (tokens),54041.49,15232.00,136640.00,12213376.00,18080.00,23088.00,26752.00,34592.00,48768.00,65872.00,90016.00,98544.00,131344.00,25112.21
Usage Prompt Tokens (tokens),81172.84,17343.00,244921.00,24595372.00,22353.52,29277.20,35777.60,50175.00,72647.00,105796.50,141303.00,156388.50,237218.36,43316.57
Usage Total Tokens (tokens),82405.79,17420.00,245131.00,24968955.00,22495.48,29933.80,36979.80,50683.00,73742.00,107186.50,141519.80,156758.80,241165.64,43394.65

Metric,Value
Benchmark Duration (sec),910.50
Completed Requests (Success + Error),304.00
Context Overflow Count,0.00
Error Request Count,1.00
Input Token Throughput (tokens/sec),26446.59
Maximum Response Timestamp (ns),1785819173367834112.00
Minimum Request Timestamp (ns),1785818262871735808.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),401.70
Request Count,303.00
Request Error Rate (%),0.33
Request Throughput (requests/sec),0.33
Theoretical Prefix Cache Hit (%),50.68
Total Input Sequence Length (tokens),24595372.00
Total Output Sequence Length (tokens),373583.00
Total Output Tokens (tokens),373583.00
Total Token Throughput (tokens/sec),26848.29
Total Usage Completion Tokens (tokens),373583.00
Total Usage Prompt Cache Read Tokens (tokens),12213376.00
Total Usage Prompt Tokens (tokens),24595372.00
Total Usage Total Tokens (tokens),24968955.00
